book_id,title,authors,books_count,0
1,"The Hunger Games (The Hunger Games,Suzanne Collins,272,0
2,Harry Potter and the Philosopher's Stone,"J.K. Rowling,491,0
3,"Twilight (Twilight,Stephenie Meyer,226,0
4,To Kill a Mockingbird,Harper Lee,487,0
5,The Great Gatsby,F. Scott Fitzgerald,1356,0
6,The Fault in Our Stars,John Green,226,0
7,The Hobbit,J.R.R. Tolkien,969,0
8,The Catcher in the Rye,J.D. Salinger,360,0
9,"Angels & Demons  (Robert Langdon,Dan Brown,311,0
10,Pride and Prejudice,Jane Austen,3455,0
11,The Kite Runner,Khaled Hosseini,283,0
12,"Divergent (Divergent,Veronica Roth,210,0
13,1949.0,"George Orwell,995,0
14,Animal Farm,George Orwell,896,0
15,1947.0,"Anne Frank,710,0
16,Män som hatar kvinnor,"Stieg Larsson,274,0
17,"Catching Fire (The Hunger Games,Suzanne Collins,201,0
18,1999.0,"J.K. Rowling,376,0
19,"The Fellowship of the Ring (The Lord of the Rings,J.R.R. Tolkien,566,0
20,"Mockingjay (The Hunger Games,Suzanne Collins,239,0
21,Harry Potter and the Order of the Phoenix,"J.K. Rowling,307,0
22,The Lovely Bones,Alice Sebold,183,0
23,Harry Potter and the Chamber of Secrets,"J.K. Rowling,398,0
24,Harry Potter and the Goblet of Fire,"J.K. Rowling,332,0
25,Harry Potter and the Deathly Hallows,"J.K. Rowling,263,0
26,"The Da Vinci Code (Robert Langdon,Dan Brown,350,0
27,Harry Potter and the Half-Blood Prince,"J.K. Rowling,275,0
28,Lord of the Flies,William Golding,458,0
29,An Excellent conceited Tragedie of Romeo and Juliet,"William Shakespeare,1937,0
30,Gone Girl,Gillian Flynn,196,0
31,The Help,Kathryn Stockett,183,0
32,Of Mice and Men,John Steinbeck,373,0
33,Memoirs of a Geisha,Arthur Golden,220,0
34,"Fifty Shades of Grey (Fifty Shades,E.L. James,169,0
35,O Alquimista,"Paulo Coelho,458,0
36,"The Giver (The Giver,Lois Lowry,192,0
37, the Witch and the Wardrobe",C.S. Lewis,474,0
38,The Time Traveler's Wife,Audrey Niffenegger,167,0
39,"A Game of Thrones (A Song of Ice and Fire,George R.R. Martin,101,0
40, pray,Elizabeth Gilbert,185,0
41,"The Lightning Thief (Percy Jackson and the Olympians,Rick Riordan,159,0
42,"Little Women (Little Women,Louisa May Alcott,1707,0
43,Jane Eyre,"Charlotte Brontë,2568,0
44,"The Notebook (The Notebook,Nicholas Sparks,190,0
45,Life of Pi,Yann Martel,264,0
46,Water for Elephants,Sara Gruen,128,0
47,The Book Thief,Markus Zusak,251,0
48,Fahrenheit 451,Ray Bradbury,507,0
49, #2)",Stephenie Meyer,194,0
50,Where the Sidewalk Ends,Shel Silverstein,45,0
51,"City of Bones (The Mortal Instruments,Cassandra Clare,178,0
52,"Eclipse (Twilight,Stephenie Meyer,185,0
53,"Eragon (The Inheritance Cycle,Christopher Paolini,217,0
54,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy,Douglas Adams,257,0
55,Brave New World,Aldous Huxley,515,0
56,"Breaking Dawn (Twilight,Stephenie Meyer,183,0
57,The Secret Life of Bees,Sue Monk Kidd,125,0
58,1884.0,"Mark Twain,2277,0
59,1952.0,"E.B. White,180,0
60,The Curious Incident of the Dog in the Night-Time,Mark Haddon,183,0
61,The Girl on the Train,Paula Hawkins,14,0
62,"The Golden Compass (His Dark Materials,Philip Pullman,287,0
63,Wuthering Heights,"Emily Brontë,2498,0
64,My Sister's Keeper,Jodi Picoult,125,0
65, or The Children's Crusade: A Duty-Dance with Death ",Kurt Vonnegut Jr.,241,0
66,Gone with the Wind,Margaret Mitchell,409,0
67,A Thousand Splendid Suns,Khaled Hosseini,197,0
68,The Perks of Being a Wallflower,Stephen Chbosky,128,0
69,"Insurgent (Divergent,Veronica Roth,164,0
70,"Ender's Game (Ender's Saga,Orson Scott Card,224,0
71,1818.0,"Mary Wollstonecraft Shelley,2618,0
72,The Shining (The Shining #1),Stephen King,289,0
73,"The Host (The Host,Stephenie Meyer,161,0
74,Looking for Alaska,John Green,187,0
75,"Bridget Jones's Diary (Bridget Jones,Helen Fielding,193,0
76,1811.0,"Jane Austen,1969,0
77,Holes,"Louis Sachar,138,0
78,"The Devil Wears Prada (The Devil Wears Prada,Lauren Weisberger,129,0
79, Frédéric Mugler,"Homer,1703,0
80, Melina Karakosta","Antoine de Saint-Exupéry,1708,0
81,The Glass Castle,Jeannette Walls,92,0
82,Into the Wild,Jon Krakauer,108,0
83,1859.0,"Charles Dickens,525,0
84,"Jurassic Park (Jurassic Park,Michael Crichton,176,0
85,The Giving Tree,Shel Silverstein,81,0
86,A Time to Kill,John Grisham,158,0
87,Un di Velt Hot Geshvign,"Elie Wiesel,109,0
88,Paper Towns,John Green,178,0
89,The Princess Bride ,William Goldman,129,0
90,The Outsiders,S.E. Hinton,156,0
91,"The Maze Runner (Maze Runner,James Dashner,147,0
92,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,"Steven D. Levitt,124,0
93,The Secret Garden,Frances Hodgson Burnett,1350,0
94,Cien años de soledad,"Gabriel García Márquez,555,0
95,The Picture of Dorian Gray,"Oscar Wilde,2303,0
96,"Fifty Shades Freed (Fifty Shades,E.L. James,133,0
97,1897.0,"Bram Stoker,2207,0
98,Flickan som lekte med elden,"Stieg Larsson,209,0
99,"Fifty Shades Darker (Fifty Shades,E.L. James,147,0
